# METADATA:
# 000AA: Castels
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000AA;2022-11-15 00:00:00;10.2;1011.7;97;9.8;0;;95;0;0
000AA;2022-11-15 00:30:00;10.1;1011.4;97;9.7;0;;201;;
000AA;2022-11-15 01:00:00;10.2;1011;97;9.7;0;;201;0;0
000AA;2022-11-15 01:30:00;10;1010.5;97;9.5;0;;201;;
000AA;2022-11-15 02:00:00;10;1009.8;97;9.5;0;;201;0;0
000AA;2022-11-15 02:30:00;10.2;1009.3;97;9.7;1.6;;203;;
000AA;2022-11-15 03:00:00;10;1008.7;98;9.7;0;;203;0;0
000AA;2022-11-15 03:30:00;10;1008.1;98;9.7;1.6;;219;;
000AA;2022-11-15 04:00:00;10.9;1007.6;99;10.7;1.6;;259;0;0
000AA;2022-11-15 04:30:00;10.8;1007.5;96;10.2;1.6;;321;;
000AA;2022-11-15 05:00:00;11;1007.2;97;10.5;0;;321;0;0
000AA;2022-11-15 05:30:00;11;1006.7;98;10.7;0;;297;;
000AA;2022-11-15 06:00:00;11.8;1006.8;98;11.5;1.6;;218;0;0
000AA;2022-11-15 06:30:00;12.5;1006.6;95;11.7;1.6;;292;;
000AA;2022-11-15 07:00:00;12.7;1006.3;94;11.8;1.6;;307;0;0
000AA;2022-11-15 07:30:00;12.9;1006.6;93;11.8;1.6;;244;;
000AA;2022-11-15 08:00:00;12.8;1006.7;95;12.1;1.6;;12;0;0
000AA;2022-11-15 08:30:00;13.5;1006.6;93;12.4;1.6;;221;;
000AA;2022-11-15 09:00:00;14.3;1006.7;91;12.8;0;;207;0;0
000AA;2022-11-15 09:30:00;14.7;1006.6;89;12.9;1.6;;78;;
000AA;2022-11-15 10:00:00;14.8;1006.5;90;13.2;1.6;;80;0;0
000AA;2022-11-15 10:30:00;15.4;1006.2;89;13.6;1.6;;202;;
000AA;2022-11-15 11:00:00;16.2;1006;87;14.1;1.6;;231;0;0
000AA;2022-11-15 11:30:00;16.9;1005.6;86;14.5;3.2;;213;;
000AA;2022-11-15 12:00:00;16.9;1005;85;14.3;0;;261;0;0
000AA;2022-11-15 12:30:00;17.1;1004.7;83;14.1;1.6;;63;;
000AA;2022-11-15 13:00:00;17.2;1004.3;83;14.3;1.6;;9;0;0
000AA;2022-11-15 13:30:00;17.3;1004;80;13.8;1.6;;148;;
000AA;2022-11-15 14:00:00;16.9;1003.9;80;13.5;3.2;;260;0;0
000AA;2022-11-15 14:30:00;16.3;1004;84;13.6;3.2;;228;;
000AA;2022-11-15 15:00:00;15.1;1003.8;89;13.3;3.2;;203;0.4;0.4
000AA;2022-11-15 15:30:00;14.5;1003.4;91;13;3.2;;187;;
000AA;2022-11-15 16:00:00;14.1;1003.4;94;13.2;3.2;;208;0;2.6
000AA;2022-11-15 16:30:00;13.8;1003.2;95;13;4.8;;233;;
